cep;logradouro
01020-900;Rua Tabatinguera 93
01020-901;Rua Tabatinguera 140
01020-902;Rua Tabatinguera 167
01020-903;Rua Tabatinguera 294
01020-904;Rua Tabatinguera 340
01021-000;Rua Vinte e Cinco de Março
01021-100;Rua Vinte e Cinco de Março
01021-200;Rua Vinte e Cinco de Março
01021-900;Rua Vinte e Cinco de Março 641
01021-901;Rua Vinte e Cinco de Março 904
01021-902;Rua Vinte e Cinco de Março 990
01021-903;Rua Vinte e Cinco de Março 1003
01022-000;Ladeira Porto Geral
01022-010;Rua Varnhagen
01022-020;Rua Cavalheiro Basílio Jafet
01022-030;Rua Jorge Azem
01022-040;Praça Ragueb Chohfi
01022-050;Parque Dom Pedro II
01022-060;Rua Doutor Itapura de Miranda
01022-070;Rua Comendador Assad Abdalla
01022-959;Rua Cavalheiro Basílio Jafet 192
01022-970;Rua Cavalheiro Basílio Jafet 191
01023-000;Rua Barão de Duprat
01023-001;Rua Barão de Duprat
01023-010;Rua Miguel Carlos
01023-020;Rua Ilha das Flores
01023-030;Rua Serop Kherlakian
01023-040;Rua Comendador Afonso Kherlakian
01023-050;Rua Comendador Abdo Schahin
01023-060;Rua Lucrécia Leme
01023-070;Rua Virgilina Sales
01023-900;Rua Miguel Carlos 41
01023-902;Rua Barão de Duprat 449
01023-903;Rua Comendador Afonso Kherlakian 79
01023-904;Rua Comendador Abdo Schahin 13
01023-905;Rua Comendador Abdo Schahin 62
01023-906;Rua Comendador Abdo Schahin 110
01024-000;Rua da Cantareira
01024-100;Rua da Cantareira
01024-900;Rua da Cantareira 306
01025-000;Rua Carlos de Sousa Nazaré
01025-001;Rua Carlos de Sousa Nazaré
01025-010;Rua Augusto Severo
01025-020;Avenida do Estado
01025-900;Rua Carlos de Sousa Nazaré 184
01026-000;Avenida Senador Queirós
01026-001;Avenida Senador Queirós
01026-010;Avenida Mercúrio
01026-900;Avenida Senador Queirós 96
01026-901;Avenida Senador Queirós 279
01026-902;Avenida Senador Queirós 312
01026-903;Avenida Senador Queirós 605
01026-904;Avenida Senador Queirós 667
01027-000;Rua Paula Sousa
01027-001;Rua Paula Sousa
01027-010;Rua Plínio Ramos
01027-020;Rua Antônio Pais
01027-030;Vila Santa Clara
01027-040;Vila Bueno
01027-050;Vila Santa Maria
01027-900;Rua Plínio Ramos 50
01028-000;Rua Mauá
01028-010;Viela dos Ingleses
01028-020;Vila Aguiar Andrade
01028-030;Jardim Itu
01028-900;Rua Mauá 51
01029-000;Rua Florêncio de Abreu
01029-001;Rua Florêncio de Abreu
01029-010;Largo de São Bento
01029-900;Largo de São Bento 64
01029-901;Rua Florêncio de Abreu 157
01029-902;Rua Florêncio de Abreu 623
01029-903;Rua Florêncio de Abreu 643
01029-959;Rua Florêncio de Abreu 951 Térreo .
01029-970;Rua Florêncio de Abreu 591 Térreo .
01030-000;Rua Florêncio de Abreu
01030-001;Rua Florêncio de Abreu
01030-010;Ladeira Constituição
01030-020;Beco da Fábrica
01030-900;Rua Florêncio de Abreu 36
01030-901;Rua Florêncio de Abreu 48
01030-902;Rua Florêncio de Abreu 352
01031-000;Avenida Prestes Maia
01031-001;Avenida Prestes Maia
01031-005;Passagem Subterrânea Tom Jobim
01031-010;Rua Dom Francisco de Sousa
01031-020;Rua Doutor Luiz Silveira
01031-030;Praça do Correio
01031-900;Parque Anhangabaú 98 1º Subsolo
01031-901;Avenida Prestes Maia 220
01031-902;Avenida Prestes Maia 241
01031-903;Avenida Prestes Maia 321
01031-904;Avenida Prestes Maia 676
01031-905;Avenida Prestes Maia 733
01031-906;Avenida Prestes Maia 733 1º Andar
01031-959;Praça do Correio
01031-970;Praça do Correio
01031-989;Avenida Prestes Maia 925 Locker Correios Metrô Luz - Entrega Exclusiva
01032-000;Rua Brigadeiro Tobias
01032-001;Rua Brigadeiro Tobias
01032-010;Rua Riskallah Jorge
01032-020;Rua Capitão-mor Jerônimo Leitão
01032-030;Praça Pedro Lessa
01032-901;Rua Brigadeiro Tobias 356
01032-902;Rua Brigadeiro Tobias 527
01032-903;Rua Brigadeiro Tobias 577
01032-905;Rua Brigadeiro Tobias 110/118
01032-970;Praça Pedro Lessa
01033-000;Avenida Cásper Líbero
01033-001;Avenida Cásper Líbero
01033-010;Rua Washington Luís
01033-020;Rua Beneficência Portuguesa
01033-030;Rua Coronel Batista da Luz
01033-040;Praça Alfredo Issa
01033-050;Viaduto Santa Ifigênia
01033-900;Avenida Cásper Líbero 58
01033-901;Avenida Cásper Líbero 134
01033-902;Praça Alfredo Issa 48 9º Andar
01033-903;Avenida Cásper Líbero 383
01033-904;Rua Beneficência Portuguesa 24
01033-905;Rua Beneficência Portuguesa 44
01033-906;Rua Doutor Alfredo Issa 48
01033-907;Viaduto Santa Ifigênia 266
01033-989;Avenida Cásper Líbero
01034-000;Rua Antônio de Godói
01034-001;Rua Antônio de Godói
01034-010;Largo do Paissandu
01034-020;Rua Capitão Salomão
01034-030;Rua Abelardo Pinto Piolin
01034-040;Rua do Seminário
01034-900;Largo do Paissandu 51
01034-901;Largo do Paissandu 72
01034-902;Rua Antônio de Godói 88
01034-903;Rua Antônio de Godói 122
01034-904;Rua do Seminário 199
01035-000;Avenida São João
01035-100;Avenida São João
01035-901;Avenida São João 439
01035-902;Avenida São João 1151
01035-903;Avenida São João 1333
01035-904;Avenida São João 473
01035-905;Avenida São João 313
01036-000;Avenida São João
01036-100;Avenida São João
01036-900;Avenida São João 32
01036-901;Avenida São João 566
01036-902;Avenida São João 802
01036-903;Avenida São João 1086
01036-970;Avenida São João 250
01037-000;Rua Conselheiro Crispiniano
01037-001;Rua Conselheiro Crispiniano
01037-010;Praça Ramos de Azevedo
01037-900;Rua Conselheiro Crispiniano 29
01037-901;Rua Conselheiro Crispiniano 53
01037-902;Rua Conselheiro Crispiniano 49/57
01037-903;Rua Conselheiro Crispiniano 40
01037-904;Rua Conselheiro Crispiniano 69
01037-905;Rua Conselheiro Crispiniano 72
01037-906;Rua Conselheiro Crispiniano 105
01037-907;Rua Conselheiro Crispiniano 139
01037-908;Rua Conselheiro Crispiniano 344
01037-909;Rua Conselheiro Crispiniano 398
01037-910;Praça Ramos de Azevedo 206
01037-911;Praça Ramos de Azevedo 209
01037-912;Praça Ramos de Azevedo 254
01038-000;Rua Dom José de Barros
01038-100;Rua Dom José de Barros
01038-900;Rua Dom José de Barros 17
01038-901;Rua Dom José de Barros 177
01038-902;Rua Dom José de Barros 152
01038-903;Rua Dom José de Barros 188
01038-904;Rua Dom José de Barros 264
01039-000;Avenida Ipiranga
01039-900;Avenida Ipiranga 795
01039-901;Avenida Ipiranga 855
01039-902;Avenida Ipiranga 919
01039-903;Avenida Ipiranga 1071
01039-904;Avenida Ipiranga 1097
01039-905;Avenida Ipiranga 1123
01039-906;Avenida Ipiranga 1251
01039-907;Avenida Ipiranga 1267
01039-908;Rua do Boticário 209
01040-000;Avenida Ipiranga
01040-010;Rua do Boticário
01040-901;Avenida Ipiranga 890
01040-902;Avenida Ipiranga 978
01040-903;Avenida Ipiranga 1208
01040-904;Avenida Ipiranga 1100
01040-905;Avenida Ipiranga 1284
01040-906;Avenida Ipiranga 952
01041-000;Rua Vinte e Quatro de Maio
01041-001;Rua Vinte e Quatro de Maio
01041-900;Rua Vinte e Quatro de Maio 62
01041-901;Rua Vinte e Quatro de Maio 104
01041-903;Rua Vinte e Quatro de Maio 188
01041-904;Rua Vinte e Quatro de Maio 208
01041-905;Rua Vinte e Quatro de Maio 276
01041-906;Rua Vinte e Quatro de Maio 135
01041-907;Rua Vinte e Quatro de Maio 77
01041-911;Rua Vinte e Quatro de Maio 35 8º Andar
01042-000;Rua Barão de Itapetininga
01042-001;Rua Barão de Itapetininga
01042-010;Rua Nova Barão
01042-020;Galeria Itapetininga
01042-030;Galeria Califórnia
01042-901;Rua Barão de Itapetininga 46
01042-902;Rua Barão de Itapetininga 50
01042-903;Rua Barão de Itapetininga 88
01042-904;Rua Barão de Itapetininga 120
01042-905;Rua Barão de Itapetininga 124
01042-906;Rua Barão de Itapetininga 140
01042-907;Rua Barão de Itapetininga 224
01042-908;Rua Barão de Itapetininga 93
01042-909;Rua Barão de Itapetininga 151
01042-910;Rua Barão de Itapetininga 163
01042-911;Rua Barão de Itapetininga 207
01042-912;Rua Barão de Itapetininga 221
01042-913;Rua Barão de Itapetininga 273
01042-914;Rua Barão de Itapetininga 275
01042-915;Rua Barão de Itapetininga 297
01042-916;Rua Barão de Itapetininga 37
01042-917;Rua Barão de Itapetininga 255
01043-000;Rua Sete de Abril
01043-010;Rua Gabus Mendes
01043-900;Rua Sete de Abril 59
01043-901;Rua Sete de Abril 105
01043-902;Rua Sete de Abril 125
01043-903;Rua Sete de Abril 127
01043-904;Rua Sete de Abril 235
01043-905;Rua Sete de Abril 261
01043-906;Rua Sete de Abril 277
01043-907;Rua Sete de Abril 309
01043-908;Rua Sete de Abril 345
01043-909;Rua Sete de Abril 309
01044-000;Rua Sete de Abril
01044-901;Rua Sete de Abril 34
01044-902;Rua Sete de Abril 118
01044-903;Rua Sete de Abril 252
01044-904;Rua Sete de Abril 264
01044-905;Rua Sete de Abril 282
01044-906;Rua Sete de Abril 296
01044-907;Rua Sete de Abril 342
01044-908;Rua Sete de Abril 386
01044-909;Rua Sete de Abril 404
01045-000;Praça da República
01045-001;Praça da República
01045-010;Rua Pedro Américo
01045-020;Rua Joaquim Gustavo
01045-900;Praça da República 76/80
01045-901;Praça da República 162
01045-902;Praça da República 270
01045-903;Praça da República 53
01045-904;Praça da República 177
01045-905;Praça da República 309
01045-906;Praça da República 386
01045-907;Praça da República 452
01045-908;Praça da República 468
01045-909;Praça da República 473
01045-910;Praça da República 497
01045-911;Rua Pedro Américo 32
01045-912;Rua Pedro Américo 68
01046-000;Avenida São Luís
01046-001;Avenida São Luís
01046-010;Avenida Ipiranga
01046-020;Rua Basílio da Gama
01046-030;Rua José Paulo Mantovan Freire
01046-040;Rua Unaí
01046-900;Avenida São Luís 50 3º andar Sala 32 D
01046-902;Avenida São Luís 43
01046-904;Avenida São Luís 86
01046-905;Avenida São Luís 99
01046-906;Avenida São Luís 112
01046-908;Avenida São Luís 140
01046-910;Avenida São Luís 141
01046-911;Avenida São Luís 165
01046-912;Avenida São Luís 187
01046-913;Avenida São Luís 192
01046-914;Avenida São Luís 234
01046-915;Avenida São Luís 258
01046-916;Avenida São Luís 268
01046-917;Avenida Ipiranga 81
01046-918;Avenida Ipiranga 104
01046-919;Avenida Ipiranga 165
01046-920;Avenida Ipiranga 282
01046-921;Avenida Ipiranga 313
01046-922;Avenida Ipiranga 324
01046-923;Avenida Ipiranga 345
01046-924;Avenida Ipiranga 200
01046-925;Avenida Ipiranga 200
01046-926;Avenida São Luís 50
01046-927;Avenida Ipiranga 318
01047-000;Rua Marconi
01047-010;Praça Dom José Gaspar
01047-020;Rua Doutor Bráulio Gomes
01047-904;Rua Marconi 34
01047-905;Rua Marconi 53
01047-906;Rua Marconi 87
01047-907;Rua Marconi 94
01047-908;Rua Marconi 107
01047-909;Rua Marconi 124
01047-910;Rua Marconi 131
01047-911;Rua Marconi 138
01047-912;Praça Dom José Gaspar 134
01048-000;Rua Coronel Xavier de Toledo
01048-100;Rua Coronel Xavier de Toledo
01048-900;Rua Coronel Xavier de Toledo 23
01048-901;Rua Coronel Xavier de Toledo 105
01048-902;Rua Coronel Xavier de Toledo 114
01048-903;Rua Coronel Xavier de Toledo 161
01048-904;Rua Coronel Xavier de Toledo 264
01048-905;Rua Coronel Xavier de Toledo 280
01049-000;Rua Formosa
01049-010;Rua Quirino de Andrade
01049-020;Largo da Memória
01049-030;Ladeira da Memória
01049-901;Rua Quirino de Andrade 155
01049-902;Rua Quirino de Andrade 185
01049-903;Rua Quirino de Andrade 193
01049-904;Rua Quirino de Andrade 211
01049-905;Rua Quirino de Andrade 219
01049-906;Rua Quirino de Andrade 237
01049-907;Rua Formosa 405
01049-908;Rua João Adolfo 27
01049-909;Rua João Adolfo 115
01049-910;Rua João Adolfo 118
01049-911;Rua Formosa 367
01050-000;Rua Martins Fontes
01050-020;Rua João Adolfo
01050-030;Rua Major Quedinho
01050-050;Praça Desembargador Mário Pires
01050-060;Viaduto Nove de Julho
01050-070;Rua Álvaro de Carvalho
01050-901;Rua Major Quedinho 90
01050-903;Rua Major Quedinho 90
01050-904;Rua Major Quedinho 111
01050-905;Rua Martins Fontes 91
01050-906;Rua Martins Fontes 197
01050-907;Rua Martins Fontes 230
01101-000;Avenida Santos Dumont
01101-010;Avenida Tiradentes
01101-020;Praça Bento de Camargo Barros
01101-040;Ponte das Bandeiras
01101-050;Passarela Cândido Cortez
01101-060;Viaduto Engenheiro Romero Zander
01101-080;Ponte Santos Dumont
01101-090;Passarela Varam Keutenedjian
01102-000;Avenida Tiradentes
01102-010;Avenida Tiradentes
01102-020;Travessa Lúcia
01102-030;Rua General Carmona
01102-040;Praça Armênia
01102-050;Ponte Tiradentes
01103-000;Rua Vinte e Cinco de Janeiro
01103-010;Rua Djalma Dutra
01103-020;Rua São Lázaro
01103-030;Rua Possidônio Inácio
01103-040;Rua Economizadora
01103-050;Rua Doutor Cláudio de Sousa
01103-060;Rua dos Clerigos
01103-070;Rua Dom Lino
01103-080;Rua Doutor Luís Pisa
01103-090;Rua dos Cantores
01103-100;Rua Euricles Félix de Matos
01103-110;Rua Francisco Sá Barbosa
01103-200;Rua da Cantareira
01103-201;Rua da Cantareira
01104-000;Rua São Caetano
01104-001;Rua São Caetano
01104-010;Rua João Jacinto
01105-000;Rua João Teodoro
01105-010;Rua Dutra Rodrigues
01105-020;Rua Dom Antônio de Melo
01105-030;Rua Doutor Pedro Arbues
01105-040;Rua Guilherme Maw
01105-050;Rua Pedro Álvares Cabral
01106-000;Rua Jorge Miranda
01106-010;Rua Alfredo Maia
01106-020;Rua Doutor Rodrigo de Barros
01106-030;Rua Deocleciana
01106-040;Rua Frei Antônio Santana Galvão
01106-050;Rua Itapirapes
01106-060;Rua Alto Pimenta
01106-070;Rua Odete Sá Barbosa
01106-080;Rua Gabriela Sá Barbosa
01106-090;Rua Matilde Sá Barbosa
01106-100;Rua Benedita Sá Barbosa
01106-110;Travessa Benedita Sá Barbosa
01106-120;Rua Amélia Sá Barbosa
01106-130;Praça Coronel Odilon Aquino de Oliveira
01107-000;Avenida do Estado
01107-010;Rua Luís Pacheco
01107-020;Rua Vitor Airosa
01107-030;Rua João Pacheco
01107-040;Rua Tapajós
01107-050;Rua Iguaçu
01107-060;Rua Tibiriçá
01107-900;Avenida do Estado 561
01107-901;Avenida do Estado 777
01107-902;Avenida do Estado 777 Entrada Portaria B
01108-000;Avenida do Estado
01109-000;Avenida Cruzeiro do Sul
01109-010;Rua Pedro Vicente
01109-020;Rua Paulino Guimarães
01109-030;Rua Guaporé
01109-040;Rua Porto Seguro
01109-050;Rua Alice Rodrigues
01109-060;Rua Eduardo Chaves
01109-070;Rua Porto Calvo
01109-080;Rua Dom Rodo
01109-090;Rua Pietro Giannoccaro
01109-100;Ponte Cruzeiro do Sul
01109-900;Rua Pedro Vicente 205
01109-959;Rua Pedro Vicente 165
01109-970;Rua Pedro Vicente 165
01120-000;Rua José Paulino
01120-001;Rua José Paulino
01120-010;Praça da Luz
01120-020;Rua Cônego Martins
01120-030;Parque da Luz
01120-901;Rua José Paulino 671
01121-000;Rua Prates
01121-010;Rua Rodolfo Miranda
01121-020;Rua Francisco Borges
01121-030;Rua Doutor Clemente de Almeida Moura
01121-040;Rua Padre Edgar de Aquino Rocha
01121-900;Rua Rodolfo Miranda 636
01122-000;Rua Ribeiro de Lima
01122-010;Rua Aimorés
01122-011;Rua Aimorés
01122-020;Rua Professor Cesare Lombroso
01122-021;Rua Professor Cesare Lombroso
01122-030;Rua Carmo Cintra
01122-040;Rua Samuel Brenner
01123-000;Rua Três Rios
01123-001;Rua Três Rios
01123-010;Rua Lubavitch
01123-020;Rua Correia de Melo
01123-030;Rua Amazonas
01123-040;Rua Guarani
01123-050;Rua Joaquim Murtinho
01123-900;Rua Correia de Melo 84
01124-000;Rua Afonso Pena
01124-010;Rua Bandeirantes
01124-020;Rua Salvador Leme
01124-030;Rua João Kopke
01124-040;Rua Jorge Velho
01124-050;Rua Doutor David Iampolsky
01124-060;Praça Coronel Fernando Prestes
01125-000;Rua da Graça
01125-001;Rua da Graça
01125-010;Rua Doutor Leonardo Pinto
01125-020;Rua do Areal
01125-030;Praça Carmine Pate
01125-959;Rua da Graça 866
01125-970;Rua da Graça 866
01126-000;Rua Júlio Conceição
01126-001;Rua Júlio Conceição
01126-010;Rua Silva Pinto
01126-020;Rua Talmud Thorá
01126-030;Rua Antônio Coruja
01127-000;Rua Newton Prado
01127-010;Rua Solon
01127-020;Rua Tenente Pena
01127-030;Rua Lopes Trovão
01127-040;Rua Carmine Forte
01127-050;Praça Paulo Giannotti
01128-000;Rua Barra do Tibaji
01128-010;Rua Matarazzo
01128-020;Rua Mamoré
01128-030;Rua David Bigio
01128-040;Rua Nair de Teffé
01128-050;Rua Camila Potenza Forte
01128-060;Rua Vicente Giusti
01128-070;Rua Irradiação
01128-080;Rua Adoração
01128-090;Rua Carmo Zacur
01128-100;Rua Antônio Hajjar
01128-110;Praça Jerusalém
01128-120;Vila Lutfala
01128-130;Travessa Engenheiro Manuel Brazão Farinha
01128-140;Travessa Matarazzo
01129-000;Rua Jaraguá
01129-010;Rua General Flores
01129-020;Rua Cristina Tomás
01129-030;Praça Miguel Forte
01130-000;Rua Anhaia
01130-010;Rua Javaés
01130-020;Praça Maimonides-Rabi Moshe Ben Maimon
01130-900;Rua Anhaia 964
01130-959;Rua Anhaia 686
01130-970;Rua Anhaia 686
01131-000;Rua dos Italianos
01131-010;Rua Sérgio Tomás
01131-020;Rua Pedro Tomás
01131-030;Rua Maria Ferraz
01131-040;Praça Sam Rabinovich
01131-050;Praça Sérgio Terpins
01131-900;Rua Sérgio Tomás 740
01132-000;Rua Visconde de Taunay
01132-010;Rua Neves de Carvalho
01132-020;Rua Maurício de Barros
01132-030;Rua Araújo Figueiredo
01132-040;Praça da Embaixada Nordestina
01132-900;Rua Maurício de Barros 121
01133-000;Avenida Rudge
01133-010;Rua Baronesa de Porto Carreiro
01133-020;Avenida Doutor Abraão Ribeiro
01133-030;Rua Laviero Abondanza
01133-040;Rua Eduardo Viana
01133-050;Rua Doutor Francisco Hartung
01133-060;Ponte da Casa Verde
01133-070;Praça Torquato Tasso Netto
01133-080;Rua Professor Joaquim Monteiro de Carvalho
01133-090;Praça José da Costa Boucinhas
01133-100;Praça Nicolau de Morais Barros Filho
01134-000;Avenida Rudge
01134-010;Rua Salesópolis
01134-020;Rua Guaripocaba
01134-030;Praça Carlos Antônio Cordeiro
01134-040;Rua Ubatim
01134-050;Rua Doraci
01134-060;Rua Vila do Conde
01134-070;Rua Ângelo Di Sarno
01134-080;Praça Professor Antônio Peres Rodrigues Filho
01134-901;Avenida Rudge 700
01134-902;Avenida Rudge 810
01135-000;Rua Anhangüera
01135-010;Rua Boracéa
01135-020;Rua Cônego Vicente Miguel Marino
01135-030;Rua Luigi Greco
01135-040;Rua Ângelo Catapano
01135-050;Via de Pedestre Dalmácia
01135-060;Via de Pedestre Provença
01136-000;Rua do Bosque
01136-001;Rua do Bosque
01136-005;Rua Américo Del Veneri
01136-010;Rua Joaquim Manuel de Macedo
01136-020;Rua Doutor João Fairbanks
01136-030;Rua Gaspar Ricardo Júnior
01136-040;Rua Altieri
01137-000;Rua Cruzeiro
01137-010;Rua Norma Pieruccini Giannotti
01137-020;Rua Doutor Ribeiro de Almeida
01137-030;Rua Doutor Roberto Mercatelli
01137-040;Rua Padre Luís Alves de Siqueira
01137-045;Praça Padre Luís Alves de Siqueira Castro
01137-050;Avenida Joaquim da Rocha Ferreira
01137-060;Travessa Sardenha
01138-000;Rua James Holland
01138-010;Rua dos Americanos
01138-020;Rua Solimões
01138-030;Rua Geraldo Buono
01138-040;Rua Leonardo Jones Júnior
01138-050;Travessa dos Americanos
01138-901;Rua James Holland 575
01139-000;Avenida Marquês de São Vicente
01139-001;Avenida Marquês de São Vicente
01139-002;Avenida Marquês de São Vicente
01139-003;Avenida Marquês de São Vicente
01139-010;Rua José Gomes Falcão
01139-020;Rua Inhaúma
